DATA;well;TYPE;WLPT;WLPR;WOMT;WOMR;WWIR;WWIT;WTHP;WBHP;WLPT_Diff;WOMT_Diff;WWIT_Diff;;;
01.05.2007;1;Prod;4908.402326;146.5459542;1357.588141;41.27568529;0;0;92.38230827;20;4908.402326;1357.588141;0;;;
01.06.2007;1;Prod;7262.876322;78.61560734;2052.287083;22.88175615;0;0;99.75994305;60;2354.473996;694.6989418;0;;;
01.07.2007;1;Prod;9404.019192;69.06912482;2673.213473;20.02988353;0;0;94.84545065;60;2141.14287;620.9263894;0;;;
01.08.2007;1;Prod;11274.96389;60.35305465;3213.580236;17.4311859;0;0;90.42544359;60;1870.944694;540.366763;0;;;
01.09.2007;1;Prod;12882.84315;53.59597536;3672.152716;15.28574934;0;0;86.87246312;60;1607.879261;458.5724802;0;;;
01.10.2007;1;Prod;14393.19468;46.52081295;4092.538913;12.76181507;0;0;82.83526361;60;1510.351531;420.3861975;0;;;
01.11.2007;1;Prod;15607.80966;40.48716597;4405.189375;10.42168206;0;0;79.21882619;60;1214.614979;312.6504618;0;;;
01.12.2007;1;Prod;16702.26731;35.30508573;4663.815138;8.342766535;0;0;76.05353684;60;1094.457658;258.6257626;0;;;
01.01.2008;1;Prod;17665.67229;31.07757971;4870.00384;6.651248442;0;0;73.48206991;60;963.4049711;206.1887017;0;;;
01.02.2008;1;INJ;17665.67229;0;4870.00384;0;209.8536586;6085.756098;131.9615642;240;0;0;6085.756098;;;
01.03.2008;1;INJ;17665.67229;0;4870.00384;0;195.4109419;12190.07974;148.3133653;240;0;0;6104.32364;;;
01.04.2008;1;INJ;17665.67229;0;4870.00384;0;192.0744231;17952.31243;156.4391329;240;0;0;5762.232694;;;
01.05.2008;1;INJ;17665.67229;0;4870.00384;0;188.1231471;23836.69072;163.6421188;240;0;0;5884.378287;;;
01.06.2008;1;INJ;17665.67229;0;4870.00384;0;182.6776438;29373.71577;169.5062647;240;0;0;5537.025051;;;
01.07.2008;1;INJ;17665.67229;0;4870.00384;0;178.0392265;34892.93179;173.7959562;240;0;0;5519.216023;;;
01.08.2008;1;INJ;17665.67229;0;4870.00384;0;174.2657865;40295.17118;177.1589839;240;0;0;5402.239383;;;
01.09.2008;1;INJ;17665.67229;0;4870.00384;0;171.2501127;45432.67456;179.746311;240;0;0;5137.503382;;;
01.10.2008;1;INJ;17665.67229;0;4870.00384;0;168.7071765;50662.59703;181.868599;240;0;0;5229.922471;;;
01.11.2008;1;INJ;17665.67229;0;4870.00384;0;166.699751;55663.58956;183.5219004;240;0;0;5000.992529;;;
01.12.2008;1;INJ;17665.67229;0;4870.00384;0;164.9932953;60778.38171;184.9330713;240;0;0;5114.792154;;;
01.01.2009;1;INJ;17665.67229;0;4870.00384;0;163.5774245;65849.28187;186.1338729;240;0;0;5070.90016;;;
