well,connected_to_34,actual_mean,baseline_mean,shutoff_mean,diff_mean,diff_pct
14,True,4.66,4.97,4.95,-0.02,-0.47
38,True,65.05,64.99,64.96,-0.02,-0.04
22,True,101.61,101.44,101.41,-0.03,-0.03
50,True,37.96,37.95,37.94,-0.01,-0.02
35,True,80.38,80.39,80.4,0.0,0.01
33,True,361.09,360.29,360.55,0.26,0.07
23,True,1.3,1.3,1.31,0.01,0.52
45,True,35.94,37.65,37.86,0.21,0.56
31,True,350.55,345.33,347.34,2.02,0.58
3,True,213.72,210.3,211.76,1.46,0.69
40,True,340.75,332.65,335.08,2.43,0.73
27,True,265.71,260.82,262.75,1.93,0.74
48,True,130.25,126.3,127.64,1.33,1.05
