--well x y z
'1'  2239.304 -1287.8370 1428.28
'14' 2930.374 -2167.1464 1427.41
'15' 3707.216 -2332.6383 1420.56
'22' 2268.894 -1607.0397 1425.44
'23' 3807.041 -2609.1116 1429.00
'24' 1803.023 -1327.2300 1426.45
'26' 4160.019 -2119.8942 1423.20
'27' 3261.595 -2169.5134 1421.57
'3'  2561.349 -1628.4138 1425.32
'31' 3545.578 -2067.7583 1423.76
'33' 4095.166 -2583.2985 1417.82
'34' 2807.778 -1882.3538 1422.86
'35' 1713.485 -1126.9508 1427.90
'36' 3156.953 -1571.5937 1427.71
'38' 1994.479 -1625.6754 1424.27
'40' 3692.760 -1856.6181 1426.40
'45' 1846.979 -1837.3848 1432.59
'48' 2692.180 -1367.7486 1430.60
'50' 1848.586 -855.13131 1431.13
'7'  1387.323 -1542.4389 1438.77

